barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	growth_promotion_three	Description
FP4A44BFOlyk53endophytesoomycete	ITS1_7	FP4	A4	bio4	BFO	lyk5	tech3	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	medium	FP4A44BFOlyk53endophytesoomycete
FP4A44BFOlyk54endophytesoomycete	ITS1_8	FP4	A4	bio4	BFO	lyk5	tech4	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	medium	FP4A44BFOlyk54endophytesoomycete
FP1A1bio1BFOpad4tech1endophytesoomycete	ITS1_33	FP1	A1	bio1	BFO	pad4	tech1	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	low	FP1A1bio1BFOpad4tech1endophytesoomycete
FP1A1bio1BFOpad4tech2endophytesoomycete	ITS1_34	FP1	A1	bio1	BFO	pad4	tech2	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	low	FP1A1bio1BFOpad4tech2endophytesoomycete
FP1A1bio1BFOpad4tech3endophytesoomycete	ITS1_35	FP1	A1	bio1	BFO	pad4	tech3	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	low	FP1A1bio1BFOpad4tech3endophytesoomycete
FP1A1bio1BFOpad4tech4endophytesoomycete	ITS1_36	FP1	A1	bio1	BFO	pad4	tech4	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	low	FP1A1bio1BFOpad4tech4endophytesoomycete
FP1A1bio2BFOpad4tech1endophytesoomycete	ITS1_87	FP1	A1	bio2	BFO	pad4	tech1	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	low	FP1A1bio2BFOpad4tech1endophytesoomycete
FP1A1bio2BFOpad4tech2endophytesoomycete	ITS1_88	FP1	A1	bio2	BFO	pad4	tech2	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	low	FP1A1bio2BFOpad4tech2endophytesoomycete
FP1A1bio2BFOpad4tech3endophytesoomycete	ITS1_89	FP1	A1	bio2	BFO	pad4	tech3	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	low	FP1A1bio2BFOpad4tech3endophytesoomycete
FP1A1bio2BFOpad4tech4endophytesoomycete	ITS1_90	FP1	A1	bio2	BFO	pad4	tech4	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	low	FP1A1bio2BFOpad4tech4endophytesoomycete
FP2A1bio4BFOpad4tech1endophytesoomycete	ITS1_36	FP2	A1	bio4	BFO	pad4	tech1	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	low	FP2A1bio4BFOpad4tech1endophytesoomycete
FP2A1bio4BFOpad4tech2endophytesoomycete	ITS1_37	FP2	A1	bio4	BFO	pad4	tech2	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	low	FP2A1bio4BFOpad4tech2endophytesoomycete
FP2A1bio4BFOpad4tech3endophytesoomycete	ITS1_38	FP2	A1	bio4	BFO	pad4	tech3	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	low	FP2A1bio4BFOpad4tech3endophytesoomycete
FP2A1bio4BFOpad4tech4endophytesoomycete	ITS1_39	FP2	A1	bio4	BFO	pad4	tech4	endophytes	oomycetes	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	low	FP2A1bio4BFOpad4tech4endophytesoomycete
FP1A1bio1BFOrar1tech1endophytesoomycete	ITS1_37	FP1	A1	bio1	BFO	rar1	tech1	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	medium	FP1A1bio1BFOrar1tech1endophytesoomycete
FP1A1bio1BFOrar1tech2endophytesoomycete	ITS1_38	FP1	A1	bio1	BFO	rar1	tech2	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	medium	FP1A1bio1BFOrar1tech2endophytesoomycete
FP1A1bio1BFOrar1tech3endophytesoomycete	ITS1_39	FP1	A1	bio1	BFO	rar1	tech3	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	medium	FP1A1bio1BFOrar1tech3endophytesoomycete
FP1A1bio1BFOrar1tech4endophytesoomycete	ITS1_40	FP1	A1	bio1	BFO	rar1	tech4	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	medium	FP1A1bio1BFOrar1tech4endophytesoomycete
FP1A1bio2BFOrar1tech2endophytesoomycete	ITS1_91	FP1	A1	bio2	BFO	rar1	tech2	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio2	rar1_A1_bio2	rar1_bio2	medium	FP1A1bio2BFOrar1tech2endophytesoomycete
FP1A1bio2BFOrar1tech3endophytesoomycete	ITS1_92	FP1	A1	bio2	BFO	rar1	tech3	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio2	rar1_A1_bio2	rar1_bio2	medium	FP1A1bio2BFOrar1tech3endophytesoomycete
FP2A1bio2BFOrar1tech1endophytesoomycete	ITS1_1	FP2	A1	bio2	BFO	rar1	tech1	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio2	rar1_A1_bio2	rar1_bio2	medium	FP2A1bio2BFOrar1tech1endophytesoomycete
FP2A1bio4BFOrar1tech1endophytesoomycete	ITS1_40	FP2	A1	bio4	BFO	rar1	tech1	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	medium	FP2A1bio4BFOrar1tech1endophytesoomycete
FP2A1bio4BFOrar1tech2endophytesoomycete	ITS1_41	FP2	A1	bio4	BFO	rar1	tech2	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	medium	FP2A1bio4BFOrar1tech2endophytesoomycete
FP2A1bio4BFOrar1tech3endophytesoomycete	ITS1_42	FP2	A1	bio4	BFO	rar1	tech3	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	medium	FP2A1bio4BFOrar1tech3endophytesoomycete
FP2A1bio4BFOrar1tech4endophytesoomycete	ITS1_43	FP2	A1	bio4	BFO	rar1	tech4	endophytes	oomycetes	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	medium	FP2A1bio4BFOrar1tech4endophytesoomycete
FP1A1bio1BFOsoiltech1soiloomycete	ITS1_41	FP1	A1	bio1	BFO	soil	tech1	soil	oomycetes	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	not_apply	FP1A1bio1BFOsoiltech1soiloomycete
FP1A1bio1BFOsoiltech2soiloomycete	ITS1_42	FP1	A1	bio1	BFO	soil	tech2	soil	oomycetes	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	not_apply	FP1A1bio1BFOsoiltech2soiloomycete
FP1A1bio1BFOsoiltech3soiloomycete	ITS1_43	FP1	A1	bio1	BFO	soil	tech3	soil	oomycetes	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	not_apply	FP1A1bio1BFOsoiltech3soiloomycete
FP1A1bio1BFOsoiltech4soiloomycete	ITS1_44	FP1	A1	bio1	BFO	soil	tech4	soil	oomycetes	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	not_apply	FP1A1bio1BFOsoiltech4soiloomycete
FP2A1bio2BFOsoiltech1soiloomycete	ITS1_2	FP2	A1	bio2	BFO	soil	tech1	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	not_apply	FP2A1bio2BFOsoiltech1soiloomycete
FP2A1bio2BFOsoiltech2soiloomycete	ITS1_3	FP2	A1	bio2	BFO	soil	tech2	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	not_apply	FP2A1bio2BFOsoiltech2soiloomycete
FP2A1bio2BFOsoiltech3soiloomycete	ITS1_4	FP2	A1	bio2	BFO	soil	tech3	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	not_apply	FP2A1bio2BFOsoiltech3soiloomycete
FP2A1bio2BFOsoiltech4soiloomycete	ITS1_5	FP2	A1	bio2	BFO	soil	tech4	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	not_apply	FP2A1bio2BFOsoiltech4soiloomycete
FP2A1bio4BFOsoiltech1soiloomycete	ITS1_44	FP2	A1	bio4	BFO	soil	tech1	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	not_apply	FP2A1bio4BFOsoiltech1soiloomycete
FP2A1bio4BFOsoiltech2soiloomycete	ITS1_45	FP2	A1	bio4	BFO	soil	tech2	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	not_apply	FP2A1bio4BFOsoiltech2soiloomycete
FP2A1bio4BFOsoiltech3soiloomycete	ITS1_46	FP2	A1	bio4	BFO	soil	tech3	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	not_apply	FP2A1bio4BFOsoiltech3soiloomycete
FP2A1bio4BFOsoiltech4soiloomycete	ITS1_47	FP2	A1	bio4	BFO	soil	tech4	soil	oomycetes	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	not_apply	FP2A1bio4BFOsoiltech4soiloomycete
FP3A41BFOsoil1soiloomycete	ITS1_41	FP3	A4	bio1	BFO	soil_new	tech1	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	not_apply	FP3A41BFOsoil_new1soil_newoomycete
FP3A41BFOsoil2soiloomycete	ITS1_42	FP3	A4	bio1	BFO	soil_new	tech2	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	not_apply	FP3A41BFOsoil_new2soil_newoomycete
FP3A41BFOsoil3soiloomycete	ITS1_43	FP3	A4	bio1	BFO	soil_new	tech3	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	not_apply	FP3A41BFOsoil_new3soil_newoomycete
FP3A41BFOsoil4soiloomycete	ITS1_44	FP3	A4	bio1	BFO	soil_new	tech4	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	not_apply	FP3A41BFOsoil_new4soil_newoomycete
FP3A41BFOsoil5soiloomycete	ITS1_45	FP3	A4	bio1	BFO	soil_new	tech5	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	not_apply	FP3A41BFOsoil_new5soil_newoomycete
FP3A41BFOsoil6soiloomycete	ITS1_46	FP3	A4	bio1	BFO	soil_new	tech6	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	not_apply	FP3A41BFOsoil_new6soil_newoomycete
FP3A42BFOsoil1soiloomycete	ITS1_87	FP3	A4	bio2	BFO	soil_new	tech1	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	not_apply	FP3A42BFOsoil_new1soil_newoomycete
FP3A42BFOsoil2soiloomycete	ITS1_88	FP3	A4	bio2	BFO	soil_new	tech2	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	not_apply	FP3A42BFOsoil_new2soil_newoomycete
FP3A42BFOsoil3soiloomycete	ITS1_89	FP3	A4	bio2	BFO	soil_new	tech3	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	not_apply	FP3A42BFOsoil_new3soil_newoomycete
FP3A42BFOsoil4soiloomycete	ITS1_90	FP3	A4	bio2	BFO	soil_new	tech4	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	not_apply	FP3A42BFOsoil_new4soil_newoomycete
FP3A42BFOsoil5soiloomycete	ITS1_91	FP3	A4	bio2	BFO	soil_new	tech5	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	not_apply	FP3A42BFOsoil_new5soil_newoomycete
FP3A42BFOsoil6soiloomycete	ITS1_92	FP3	A4	bio2	BFO	soil_new	6	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	not_apply	FP3A42BFOsoil_new6soil_newoomycete
FP4A44BFOsoil1soiloomycete	ITS1_37	FP4	A4	bio4	BFO	soil_new	tech1	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	not_apply	FP4A44BFOsoil_new1soil_newoomycete
FP4A44BFOsoil2soiloomycete	ITS1_38	FP4	A4	bio4	BFO	soil_new	tech2	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	not_apply	FP4A44BFOsoil_new2soil_newoomycete
FP4A44BFOsoil3soiloomycete	ITS1_39	FP4	A4	bio4	BFO	soil_new	tech3	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	not_apply	FP4A44BFOsoil_new3soil_newoomycete
FP4A44BFOsoil4soiloomycete	ITS1_40	FP4	A4	bio4	BFO	soil_new	tech4	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	not_apply	FP4A44BFOsoil_new4soil_newoomycete
FP4A55BFOsoil5soiloomycete	ITS1_41	FP4	A4	bio4	BFO	soil_new	tech5	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	not_apply	FP4A55BFOsoil_new5soil_newoomycete
FP4A66BFOsoil6soiloomycete	ITS1_42	FP4	A4	bio4	BFO	soil_new	tech6	soil_new	oomycetes	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	not_apply	FP4A66BFOsoil_new6soil_newoomycete
FP3A41BFOwrky331endophytesoomycete	ITS1_17	FP3	A4	bio1	BFO	wrky33	tech1	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	low	FP3A41BFOwrky331endophytesoomycete
FP3A41BFOwrky332endophytesoomycete	ITS1_18	FP3	A4	bio1	BFO	wrky33	tech2	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	low	FP3A41BFOwrky332endophytesoomycete
FP3A41BFOwrky333endophytesoomycete	ITS1_19	FP3	A4	bio1	BFO	wrky33	tech3	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	low	FP3A41BFOwrky333endophytesoomycete
FP3A41BFOwrky334endophytesoomycete	ITS1_20	FP3	A4	bio1	BFO	wrky33	tech4	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	low	FP3A41BFOwrky334endophytesoomycete
FP3A42BFOwrky331endophytesoomycete	ITS1_63	FP3	A4	bio2	BFO	wrky33	tech1	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio2	wrky33_A4_bio2	wrky33_bio2	low	FP3A42BFOwrky331endophytesoomycete
FP3A42BFOwrky332endophytesoomycete	ITS1_64	FP3	A4	bio2	BFO	wrky33	tech2	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio2	wrky33_A4_bio2	wrky33_bio2	low	FP3A42BFOwrky332endophytesoomycete
FP3A42BFOwrky333endophytesoomycete	ITS1_65	FP3	A4	bio2	BFO	wrky33	tech3	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio2	wrky33_A4_bio2	wrky33_bio2	low	FP3A42BFOwrky333endophytesoomycete
FP3A42BFOwrky334endophytesoomycete	ITS1_66	FP3	A4	bio2	BFO	wrky33	tech4	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio2	wrky33_A4_bio2	wrky33_bio2	low	FP3A42BFOwrky334endophytesoomycete
FP4A44BFOwrky331endophytesoomycete	ITS1_13	FP4	A4	bio4	BFO	wrky33	tech1	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio4	wrky33_A4_bio4	wrky33_bio4	low	FP4A44BFOwrky331endophytesoomycete
FP4A44BFOwrky332endophytesoomycete	ITS1_14	FP4	A4	bio4	BFO	wrky33	tech2	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio4	wrky33_A4_bio4	wrky33_bio4	low	FP4A44BFOwrky332endophytesoomycete
FP4A44BFOwrky333endophytesoomycete	ITS1_15	FP4	A4	bio4	BFO	wrky33	tech3	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio4	wrky33_A4_bio4	wrky33_bio4	low	FP4A44BFOwrky333endophytesoomycete
FP4A44BFOwrky334endophytesoomycete	ITS1_16	FP4	A4	bio4	BFO	wrky33	tech4	endophytes	oomycetes	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio4	wrky33_A4_bio4	wrky33_bio4	low	FP4A44BFOwrky334endophytesoomycete
FP1A1bio1BFOwrky3340tech1endophytesoomycete	ITS1_9	FP1	A1	bio1	BFO	wrky3340	tech1	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio1	wrky3340_A1_bio1	wrky3340_bio1	low	FP1A1bio1BFOwrky3340tech1endophytesoomycete
FP1A1bio1BFOwrky3340tech2endophytesoomycete	ITS1_10	FP1	A1	bio1	BFO	wrky3340	tech2	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio1	wrky3340_A1_bio1	wrky3340_bio1	low	FP1A1bio1BFOwrky3340tech2endophytesoomycete
FP1A1bio1BFOwrky3340tech3endophytesoomycete	ITS1_11	FP1	A1	bio1	BFO	wrky3340	tech3	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio1	wrky3340_A1_bio1	wrky3340_bio1	low	FP1A1bio1BFOwrky3340tech3endophytesoomycete
FP1A1bio1BFOwrky3340tech4endophytesoomycete	ITS1_12	FP1	A1	bio1	BFO	wrky3340	tech4	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio1	wrky3340_A1_bio1	wrky3340_bio1	low	FP1A1bio1BFOwrky3340tech4endophytesoomycete
FP1A1bio2BFOwrky3340tech1endophytesoomycete	ITS1_63	FP1	A1	bio2	BFO	wrky3340	tech1	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio2	wrky3340_A1_bio2	wrky3340_bio2	low	FP1A1bio2BFOwrky3340tech1endophytesoomycete
FP1A1bio2BFOwrky3340tech2endophytesoomycete	ITS1_64	FP1	A1	bio2	BFO	wrky3340	tech2	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio2	wrky3340_A1_bio2	wrky3340_bio2	low	FP1A1bio2BFOwrky3340tech2endophytesoomycete
FP1A1bio2BFOwrky3340tech3endophytesoomycete	ITS1_65	FP1	A1	bio2	BFO	wrky3340	tech3	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio2	wrky3340_A1_bio2	wrky3340_bio2	low	FP1A1bio2BFOwrky3340tech3endophytesoomycete
FP1A1bio2BFOwrky3340tech4endophytesoomycete	ITS1_66	FP1	A1	bio2	BFO	wrky3340	tech4	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio2	wrky3340_A1_bio2	wrky3340_bio2	low	FP1A1bio2BFOwrky3340tech4endophytesoomycete
FP2A1bio4BFOwrky3340tech1endophytesoomycete	ITS1_13	FP2	A1	bio4	BFO	wrky3340	tech1	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio4	wrky3340_A1_bio4	wrky3340_bio4	low	FP2A1bio4BFOwrky3340tech1endophytesoomycete
FP2A1bio4BFOwrky3340tech2endophytesoomycete	ITS1_14	FP2	A1	bio4	BFO	wrky3340	tech2	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio4	wrky3340_A1_bio4	wrky3340_bio4	low	FP2A1bio4BFOwrky3340tech2endophytesoomycete
FP2A1bio4BFOwrky3340tech3endophytesoomycete	ITS1_15	FP2	A1	bio4	BFO	wrky3340	tech3	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio4	wrky3340_A1_bio4	wrky3340_bio4	low	FP2A1bio4BFOwrky3340tech3endophytesoomycete
FP2A1bio4BFOwrky3340tech4endophytesoomycete	ITS1_16	FP2	A1	bio4	BFO	wrky3340	tech4	endophytes	oomycetes	wrky3340_endophytes	wrky3340_BFO	endophytes_BFO	wrky3340_endophytes_BFO	no	A1_bio4	wrky3340_A1_bio4	wrky3340_bio4	low	FP2A1bio4BFOwrky3340tech4endophytesoomycete
FP1A1bio1BFOWTtech1endophytesoomycete	ITS1_1	FP1	A1	bio1	BFO	WT	tech1	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio1	WT_A1_bio1	WT_bio1	high	FP1A1bio1BFOWTtech1endophytesoomycete
FP1A1bio1BFOWTtech2endophytesoomycete	ITS1_2	FP1	A1	bio1	BFO	WT	tech2	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio1	WT_A1_bio1	WT_bio1	high	FP1A1bio1BFOWTtech2endophytesoomycete
FP1A1bio1BFOWTtech3endophytesoomycete	ITS1_3	FP1	A1	bio1	BFO	WT	tech3	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio1	WT_A1_bio1	WT_bio1	high	FP1A1bio1BFOWTtech3endophytesoomycete
FP1A1bio1BFOWTtech4endophytesoomycete	ITS1_4	FP1	A1	bio1	BFO	WT	tech4	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio1	WT_A1_bio1	WT_bio1	high	FP1A1bio1BFOWTtech4endophytesoomycete
FP1A1bio2BFOWTtech1endophytesoomycete	ITS1_55	FP1	A1	bio2	BFO	WT	tech1	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio2	WT_A1_bio2	WT_bio2	high	FP1A1bio2BFOWTtech1endophytesoomycete
FP1A1bio2BFOWTtech2endophytesoomycete	ITS1_56	FP1	A1	bio2	BFO	WT	tech2	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio2	WT_A1_bio2	WT_bio2	high	FP1A1bio2BFOWTtech2endophytesoomycete
FP1A1bio2BFOWTtech3endophytesoomycete	ITS1_57	FP1	A1	bio2	BFO	WT	tech3	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio2	WT_A1_bio2	WT_bio2	high	FP1A1bio2BFOWTtech3endophytesoomycete
