project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	16S_UBQ_ref
G1	bio1	WT	BO	WT_BO	WT_BO_bio1	tech5	G1-1-30-BO	root	plate5	14.18	20.56	0.499741516
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech1	G1-1-36-BFO	root	plate3	12.72	31.48	
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech2	G1-1-37-BFO	root	plate3	14.03	19.29	0.166706469
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech3	G1-1-38-BFO	root	plate3	13.54	20.2	0.440869475
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech4	G1-1-39-BFO	root	plate3	9.79	31.33	
G1	bio1	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio1	tech5	G1-1-40-BFO	root	plate4	12.42	32.07	
G1	bio1	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio1	tech1	G1-1-41-B	root	plate1	13.33	20.18	0.466947398
G1	bio1	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio1	tech2	G1-1-42-B	root	plate1	14.25	20.57	0.323588537
G1	bio1	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio1	tech3	G1-1-43-B	root	plate1	13.4	19.8	0.340837028
G1	bio1	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio1	tech4	G1-1-44-B	root	plate1	12.92	21.08	1.163950745
G1	bio1	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio1	tech5	G1-1-45-B	root	plate1	13.93	20.3	0.336529526
G1	bio1	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio1	tech1	G1-1-56-BF	root	plate2	12.95	21.97	0.881082801
G1	bio1	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio1	tech2	G1-1-57-BF	root	plate2	13.84	19.81	0.106172922
G1	bio1	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio1	tech3	G1-1-58-BF	root	plate2	13.84	19.28	0.073543137
G1	bio1	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio1	tech4	G1-1-59-BF	root	plate2	12.98	18.88	0.100948099
