exp	biol1	gen	treat	FW_g	FP	No
NF1	biol2	WT	S-new	0.0906	fp6	pl1
NF1	biol2	WT	S-new	0.0465	fp6	pl2
NF1	biol2	WT	S-new	0.027	fp6	pl3
NF1	biol2	WT	S-new	0.0212	fp6	pl4
NF1	biol3	WT	S-new	0.057	fp1	pl1
NF1	biol3	WT	S-new	0.0131	fp1	pl2
NF1	biol3	WT	S-new	0	fp1	pl3
NF1	biol3	WT	S-new	0	fp1	pl4
NF1	biol3	WT	S-new	0.0257	fp2	pl1
NF1	biol3	WT	S-new	0.0067	fp2	pl2
NF1	biol3	WT	S-new	0	fp2	pl3
NF1	biol3	WT	S-new	0	fp2	pl4
NF1	biol3	WT	S-new	0.0496	fp3	pl1
NF1	biol3	WT	S-new	0.017	fp3	pl2
NF1	biol3	WT	S-new	0.013	fp3	pl3
NF1	biol3	WT	S-new	0.0226	fp3	pl4
NF1	biol3	WT	S-new	0.0157	fp4	pl1
NF1	biol3	WT	S-new	0.0479	fp4	pl2
NF1	biol3	WT	S-new	0.0559	fp4	pl3
NF1	biol3	WT	S-new	0.0221	fp4	pl4
NF1	biol3	WT	S-new	0.0458	fp5	pl1
NF1	biol3	WT	S-new	0.0239	fp5	pl2
NF1	biol3	WT	S-new	0.0246	fp5	pl3
NF1	biol3	WT	S-new	0.0509	fp5	pl4
NF1	biol3	WT	S-new	0.0144	fp6	pl1
NF1	biol3	WT	S-new	0.0768	fp6	pl2
NF1	biol3	WT	S-new	0.0355	fp6	pl3
NF1	biol3	WT	S-new	0	fp6	pl4
