exp	biol1	gen	treat	FW_g	FP	No
NF1	biol2	WT	B-old	0.0065	fp6	pl2
NF1	biol2	WT	B-old	0.0308	fp6	pl3
NF1	biol2	WT	B-old	0.1228	fp6	pl4
NF1	biol3	WT	B-old	0.0095	fp1	pl1
NF1	biol3	WT	B-old	0.0134	fp1	pl2
NF1	biol3	WT	B-old	0.0213	fp1	pl3
NF1	biol3	WT	B-old	0	fp1	pl4
NF1	biol3	WT	B-old	0.0122	fp2	pl1
NF1	biol3	WT	B-old	0.0439	fp2	pl2
NF1	biol3	WT	B-old	0.0366	fp2	pl3
NF1	biol3	WT	B-old	0.0601	fp2	pl4
NF1	biol3	WT	B-old	0.1817	fp3	pl1
NF1	biol3	WT	B-old	0.0206	fp3	pl2
NF1	biol3	WT	B-old	0.0243	fp3	pl3
NF1	biol3	WT	B-old	0	fp3	pl4
NF1	biol3	WT	B-old	0.0425	fp4	pl1
NF1	biol3	WT	B-old	0.0315	fp4	pl2
NF1	biol3	WT	B-old	0	fp4	pl3
NF1	biol3	WT	B-old	0	fp4	pl4
NF1	biol3	WT	B-old	0.0079	fp5	pl1
NF1	biol3	WT	B-old	0.0231	fp5	pl2
NF1	biol3	WT	B-old	0.0591	fp5	pl3
NF1	biol3	WT	B-old	0.0167	fp5	pl4
NF1	biol3	WT	B-old	0.0085	fp6	pl1
NF1	biol3	WT	B-old	0.0125	fp6	pl2
NF1	biol3	WT	B-old	0.0148	fp6	pl3
NF1	biol3	WT	B-old	0.0152	fp6	pl4
NF1	biol1	WT	F-old	0	fp1	p1
NF1	biol1	WT	F-old	0	fp1	p2
NF1	biol1	WT	F-old	0	fp1	p3
NF1	biol1	WT	F-old	0	fp1	p4
NF1	biol1	WT	F-old	0	fp2	p1
NF1	biol1	WT	F-old	0	fp2	p2
NF1	biol1	WT	F-old	0	fp2	p3
NF1	biol1	WT	F-old	0	fp2	p4
NF1	biol1	WT	F-old	0.0065	fp3	p1
NF1	biol1	WT	F-old	0.1021	fp3	p2
NF1	biol1	WT	F-old	0	fp3	p3
NF1	biol1	WT	F-old	0	fp3	p4
NF1	biol1	WT	F-old	0	fp4	p1
NF1	biol1	WT	F-old	0	fp4	p2
NF1	biol1	WT	F-old	0	fp4	p3
NF1	biol1	WT	F-old	0	fp4	p4
NF1	biol1	WT	F-old	0.0079	fp5	p1
NF1	biol1	WT	F-old	0.0665	fp5	p2
NF1	biol1	WT	F-old	0.0331	fp5	p3
NF1	biol1	WT	F-old	0.0136	fp5	p4
NF1	biol1	WT	F-old	0	fp6	p1
NF1	biol1	WT	F-old	0	fp6	p2
NF1	biol1	WT	F-old	0	fp6	p3
NF1	biol1	WT	F-old	0	fp6	p4
NF1	biol2	WT	F-old	0.0338	fp1	pl1
NF1	biol2	WT	F-old	0	fp1	pl2
NF1	biol2	WT	F-old	0	fp1	pl3
NF1	biol2	WT	F-old	0	fp1	pl4
NF1	biol2	WT	F-old	0.0139	fp2	pl1
NF1	biol2	WT	F-old	0	fp2	pl2
NF1	biol2	WT	F-old	0	fp2	pl3
NF1	biol2	WT	F-old	0	fp2	pl4
NF1	biol2	WT	F-old	0	fp3	pl1
NF1	biol2	WT	F-old	0	fp3	pl2
NF1	biol2	WT	F-old	0	fp3	pl3
NF1	biol2	WT	F-old	0	fp3	pl4
NF1	biol2	WT	F-old	0.1806	fp4	pl1
