FIT1_bacteria_bio2_cyp79b2b3_B_tech3	FIT1_bacteria_bio3_WT_B_tech1	FIT1_bacteria_bio1_WT_BF_tech1	FIT1_bacteria_bio1_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	FIT1_bacteria_bio1_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio3_WT_B_tech5	FIT1_bacteria_bio3_soil_B_tech2	FIT1_bacteria_bio2_soil_BF_tech2	FIT1_bacteria_bio1_soil_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_initial_initial_tech3	FIT1_bacteria_bio2_initial_initial_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech5	FIT1_bacteria_bio1_WT_BF_tech3	FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	FIT1_bacteria_bio2_WT_B_tech1	FIT1_bacteria_bio3_soil_BO_tech2	FIT1_bacteria_bio2_initial_initial_tech3	FIT1_bacteria_bio3_WT_BO_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	FIT1_bacteria_bio1_cyp79b2b3_B_tech4	FIT1_bacteria_bio3_WT_B_tech3	FIT1_bacteria_bio2_WT_B_tech5	FIT1_bacteria_bio3_WT_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio1_WT_BF_tech2	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio2_WT_BFO_tech3	FIT1_bacteria_bio1_soil_BFO_tech2	FIT1_bacteria_bio2_soil_BFO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_WT_BO_tech3	FIT1_bacteria_bio2_WT_BO_tech5	FIT1_bacteria_bio2_WT_BO_tech3	FIT1_bacteria_bio1_WT_B_tech5	FIT1_bacteria_bio1_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_soil_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio1_initial_initial_tech3	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio3_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech2	FIT1_bacteria_bio3_soil_BF_tech1	FIT1_bacteria_bio3_initial_initial_tech1	FIT1_bacteria_bio1_initial_initial_tech1	FIT1_bacteria_bio2_cyp79b2b3_B_tech5	FIT1_bacteria_bio2_soil_B_tech2	FIT1_bacteria_bio2_cyp79b2b3_B_tech4	FIT1_bacteria_bio1_WT_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech1	FIT1_bacteria_bio2_soil_BO_tech1	FIT1_bacteria_bio1_WT_BF_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	FIT1_bacteria_bio1_soil_B_tech1	FIT1_bacteria_bio2_initial_initial_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_WT_BO_tech4	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_WT_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_BO_tech1	FIT1_bacteria_bio3_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech2	FIT1_bacteria_bio2_WT_BFO_tech4	FIT1_bacteria_bio2_soil_BO_tech2	FIT1_bacteria_bio2_WT_BF_tech2	FIT1_bacteria_bio2_WT_BF_tech3	FIT1_bacteria_bio3_WT_BFO_tech3	FIT1_bacteria_bio1_WT_B_tech3	FIT1_bacteria_bio1_WT_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio1_WT_BFO_tech3	FIT1_bacteria_bio2_WT_BFO_tech5	FIT1_bacteria_bio3_initial_initial_tech2	FIT1_bacteria_bio1_soil_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech2	FIT1_bacteria_bio2_WT_B_tech3	FIT1_bacteria_bio1_cyp79b2b3_BF_tech5	FIT1_bacteria_bio1_WT_BFO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech3	FIT1_bacteria_bio2_WT_B_tech4	FIT1_bacteria_bio2_soil_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_initial_initial_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech1	FIT1_bacteria_bio3_WT_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech5	FIT1_bacteria_bio3_WT_BFO_tech2	FIT1_bacteria_bio1_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_WT_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech2	FIT1_bacteria_bio2_soil_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_WT_BO_tech4	FIT1_bacteria_bio1_soil_BF_tech2	FIT1_bacteria_bio3_WT_BFO_tech4	FIT1_bacteria_bio1_WT_BO_tech2	FIT1_bacteria_bio3_WT_BF_tech5	FIT1_bacteria_bio1_soil_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_WT_BF_tech4	FIT1_bacteria_bio2_soil_B_tech1	FIT1_bacteria_bio1_soil_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_WT_BO_tech1	FIT1_bacteria_bio3_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech1	FIT1_bacteria_bio3_soil_BO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_WT_BF_tech3	FIT1_bacteria_bio2_WT_BF_tech5	FIT1_bacteria_bio1_WT_B_tech4	FIT1_bacteria_bio1_soil_BFO_tech1	FIT1_bacteria_bio2_WT_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech4
OTU_782	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	24	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	2	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_604	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	9	8	1	0	0	0	0	6	1	0	3	0	0	1	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	1	15	2	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	5	3	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_564	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	6	5	0	0	2	0	1	8	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	1	2	0	1	0	0	0	0	0	6	10	0	0	1	0	0	1	0	0	1	1	0	7	0	0	1	2	0	0	0	0	0	27	3	0	0	2	1	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	2	0	0	10	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	4	1	0	0	0	0	0
OTU_729	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_772	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_444D2	1	1	4	4	2	2	1	3	1	0	1	0	3	1	1	1	2	0	2	25	20	0	9	1	3	0	21	0	3	1	0	1	0	1	0	1	0	4	1	0	0	0	2	0	0	1	4	0	2	2	0	2	20	0	0	3	0	0	0	2	1	0	36	13	1	4	3	7	6	1	0	0	3	0	2	19	0	0	1	1	1	2	0	0	0	3	2	0	3	0	0	0	0	0	4	2	1	2	1	1	29	1	1	0	2	3	1	3	0	1	2	3	3	23	8	1	1	11	0	1	1	0	5	1	1	0	2	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	5	4	0	2	2	0	4	0	0	0	0
OTU_756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_710	2	2	0	0	0	1	0	0	0	0	4	0	0	0	1	1	0	0	0	7	5	1	0	0	0	1	3	3	0	0	0	2	0	4	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	16	0	2	0	7	0	0	1	1	0	0	0	0	0	1	1	0	3	0	0	9	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	4	0	1	0	0	0	0	0	0
OTU_369	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_4	3	0	0	0	1	0	0	0	1	1	1	1	2	0	0	0	9	0	0	17	23	0	0	0	3	0	21	0	0	2	0	1	1	2	2	1	0	0	2	1	0	4	0	0	0	0	0	0	2	1	0	0	5	1	0	2	1	2	0	0	1	3	16	9	5	1	1	0	2	2	0	0	1	1	0	14	0	1	1	5	0	0	0	1	2	1	0	0	3	0	1	2	1	0	0	0	0	2	0	1	38	0	0	1	0	0	0	0	0	0	4	1	1	11	0	0	1	0	0	2	0	1	0	0	1	1	1	0	0	2	0	0	0	1	1	4	0	1	0	1	2	0	0	0	0	3	1	1	0	0	0	1	0
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1280	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU_166	0	1	0	0	0	9	0	0	0	1	0	2	1	0	0	0	0	0	0	11	7	1	0	0	3	0	7	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	3	0	0	3	0	0	1	0	1	1	0	0	0	19	3	2	0	1	0	0	0	0	5	0	0	0	7	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	20	0	0	0	0	1	0	0	0	0	0	0	2	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	3	0	0	0	0	0	0
OTU_101	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	2	0	0	0	7	7	0	0	0	0	0	5	1	0	0	0	1	0	1	0	2	1	0	0	5	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	2	8	1	2	0	0	0	0	1	0	0	0	0	0	5	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	13	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
OTU_100	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_768D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1304	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	3	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_554	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1310	0	1	0	0	0	2	0	0	2	6	0	1	0	0	3	0	0	0	0	3	3	0	0	0	0	0	2	2	0	2	0	0	0	0	2	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	3	0	0	0	0	0	0	1	0	2	0	2	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	6	0	1	9	0	0	1	0	1	0	0	5	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
OTU_728	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU_190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_777	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0
OTU_535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_724D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
