microbes	genotype	compartment	experiment_biological	_compartment_genotype_tech	fw
FP3A41BFOapex22endophytesfungi	BFO	apex2	endophytes	A4_bio1	A4_bio1_apex2_BFO_tech2	0.026375
FP3A41BFOapex23endophytesfungi	BFO	apex2	endophytes	A4_bio1	A4_bio1_apex2_BFO_tech3	0.05255
FP3A41BFOapex24endophytesfungi	BFO	apex2	endophytes	A4_bio1	A4_bio1_apex2_BFO_tech4	0.0394
FP3A41BFOapex31endophytesfungi	BFO	apex3	endophytes	A4_bio1	A4_bio1_apex3_BFO_tech1	0.0417
FP3A41BFOapex32endophytesfungi	BFO	apex3	endophytes	A4_bio1	A4_bio1_apex3_BFO_tech2	0.03735
FP3A41BFOapex33endophytesfungi	BFO	apex3	endophytes	A4_bio1	A4_bio1_apex3_BFO_tech3	0.031675
FP3A41BFOapex34endophytesfungi	BFO	apex3	endophytes	A4_bio1	A4_bio1_apex3_BFO_tech4	0.0367
FP3A41BFObak1bkk1cerk11endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech1	0.022425
FP3A41BFObak1bkk1cerk12endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech2	0.0472
FP3A41BFObak1bkk1cerk13endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech3	0.028375
FP3A41BFObak1bkk1cerk14endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech4	0.02845
FP3A41BFO35SBRI1endophytesfungi	BFO	35SBRI	endophytes	A4_bio1	A4_bio1_35SBRI_BFO_tech1	0.037975
FP3A41BFO35SBRI2endophytesfungi	BFO	35SBRI	endophytes	A4_bio1	A4_bio1_35SBRI_BFO_tech2	0.0348
FP3A41BFO35SBRI3endophytesfungi	BFO	35SBRI	endophytes	A4_bio1	A4_bio1_35SBRI_BFO_tech3	0.019675
FP3A41BFO35SBRI4endophytesfungi	BFO	35SBRI	endophytes	A4_bio1	A4_bio1_35SBRI_BFO_tech4	0.0138
FP3A41BFOsoil1soilfungi	BFO	soil	soil	A4_bio1	A4_bio1_soil_BFO_tech1	NA
FP3A41BFOsoil2soilfungi	BFO	soil	soil	A4_bio1	A4_bio1_soil_BFO_tech2	NA
FP3A41BFOsoil3soilfungi	BFO	soil	soil	A4_bio1	A4_bio1_soil_BFO_tech3	NA
FP3A41BFOsoil4soilfungi	BFO	soil	soil	A4_bio1	A4_bio1_soil_BFO_tech4	NA
FP3A41BFOsoil5soilfungi	BFO	soil	soil	A4_bio1	A4_bio1_soil_BFO_tech5	NA
