	barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	exp_bio_gen_microbes_tech	Description
FP1A1bio2BFObak1bkk1tech4endophytesfungi	ITS1_74	FP1	A1	bio2	BFO	bak1bkk1	tech4	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	A1_bio2_bak1bkk1_BFO_tech4	FP1A1bio2BFObak1bkk1tech4endophytesfungi
FP2A1bio4BFObak1bkk1tech1endophytesfungi	ITS1_21	FP2	A1	bio4	BFO	bak1bkk1	tech1	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	A1_bio4_bak1bkk1_BFO_tech1	FP2A1bio4BFObak1bkk1tech1endophytesfungi
FP2A1bio4BFObak1bkk1tech2endophytesfungi	ITS1_22	FP2	A1	bio4	BFO	bak1bkk1	tech2	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	A1_bio4_bak1bkk1_BFO_tech2	FP2A1bio4BFObak1bkk1tech2endophytesfungi
FP2A1bio4BFObak1bkk1tech3endophytesfungi	ITS1_23	FP2	A1	bio4	BFO	bak1bkk1	tech3	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	A1_bio4_bak1bkk1_BFO_tech3	FP2A1bio4BFObak1bkk1tech3endophytesfungi
FP2A1bio4BFObak1bkk1tech4endophytesfungi	ITS1_24	FP2	A1	bio4	BFO	bak1bkk1	tech4	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	A1_bio4_bak1bkk1_BFO_tech4	FP2A1bio4BFObak1bkk1tech4endophytesfungi
FP3A41BFObak1bkk1cerk11endophytesfungi	ITS1_33	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech1	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech1	FP3A41BFObak1bkk1cerk11endophytesfungi
FP3A41BFObak1bkk1cerk12endophytesfungi	ITS1_34	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech2	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech2	FP3A41BFObak1bkk1cerk12endophytesfungi
FP3A41BFObak1bkk1cerk13endophytesfungi	ITS1_35	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech3	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech3	FP3A41BFObak1bkk1cerk13endophytesfungi
FP3A41BFObak1bkk1cerk14endophytesfungi	ITS1_36	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech4	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	A4_bio1_bak1bkk1cerk1_BFO_tech4	FP3A41BFObak1bkk1cerk14endophytesfungi
FP3A42BFObak1bkk1cerk11endophytesfungi	ITS1_79	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech1	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech1	FP3A42BFObak1bkk1cerk11endophytesfungi
FP3A42BFObak1bkk1cerk12endophytesfungi	ITS1_80	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech2	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech2	FP3A42BFObak1bkk1cerk12endophytesfungi
FP3A42BFObak1bkk1cerk13endophytesfungi	ITS1_81	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech3	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech3	FP3A42BFObak1bkk1cerk13endophytesfungi
