SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	X16S_UBQ	X16S_UBQ_ref
FP3A41BFObri3014endophytesbacteria	ITS_08	FP3	FP3_ITS_08	A4	bio1	BFO	bri301	bri301	tech4	endophytes	plate30	12.46869818	19.35094042	117.9672222	0.854569822
FP3A41BFOlyk51endophytesbacteria	ITS_09	FP3	FP3_ITS_09	A4	bio1	BFO	lyk5	lyk5	tech1	endophytes	plate30	11.99806408	20.23613111	301.9293157	2.18721503
FP3A41BFOlyk52endophytesbacteria	ITS_10	FP3	FP3_ITS_10	A4	bio1	BFO	lyk5	lyk5	tech2	endophytes	plate30	12.1853975	19.53951171	163.6096704	1.185209623
FP3A41BFOlyk53endophytesbacteria	ITS_11	FP3	FP3_ITS_11	A4	bio1	BFO	lyk5	lyk5	tech3	endophytes	plate30	10.914745	19.29054783	332.175724	2.406323926
FP3A41BFOlyk54endophytesbacteria	ITS_12	FP3	FP3_ITS_12	A4	bio1	BFO	lyk5	lyk5	tech4	endophytes	plate30	11.50615401	20.11845904	391.347122	2.834969189
FP3A41BFOcyp79b2b3new1endophytesbacteria	ITS_13	FP3	FP3_ITS_13	A4	bio1	BFO	cyp79b2b3	cyp79b2b3	tech1	endophytes	plate30	11.9108954	19.694783	220.3858213	1.596503406
FP3A41BFOcyp79b2b3new2endophytesbacteria	ITS_14	FP3	FP3_ITS_14	A4	bio1	BFO	cyp79b2b3	cyp79b2b3	tech2	endophytes	plate30	10.257717	20.49911593	1210.509709	8.769088963
FP3A41BFOcyp79b2b3new3endophytesbacteria	ITS_15	FP3	FP3_ITS_15	A4	bio1	BFO	cyp79b2b3	cyp79b2b3	tech3	endophytes	plate30	10.91880266	19.4335104	365.7483999	2.649528734
FP3A41BFOcyp79b2b3new4endophytesbacteria	ITS_16	FP3	FP3_ITS_16	A4	bio1	BFO	cyp79b2b3	cyp79b2b3	tech4	endophytes	plate30	12.0626883	20.00627815	246.1834288	1.783384613
FP3A41BFOwrky331endophytesbacteria	ITS_17	FP3	FP3_ITS_17	A4	bio1	BFO	wrky33	wrky33	tech1	endophytes	plate30	11.89919617	19.81111648	240.8381811	1.744662946
FP3A41BFOwrky332endophytesbacteria	ITS_18	FP3	FP3_ITS_18	A4	bio1	BFO	wrky33	wrky33	tech2	endophytes	plate30	11.91960292	19.22550853	158.2328799	1.146259456
FP3A41BFOwrky333endophytesbacteria	ITS_19	FP3	FP3_ITS_19	A4	bio1	BFO	wrky33	wrky33	tech3	endophytes	plate30	10.57092771	19.61053998	526.2528261	3.812243565
FP3A41BFOwrky334endophytesbacteria	ITS_20	FP3	FP3_ITS_20	A4	bio1	BFO	wrky33	wrky33	tech4	endophytes	plate30	12.06075261	19.53845372	178.2429393	1.291214915
FP3A41BFOapex11endophytesbacteria	ITS_21	FP3	FP3_ITS_21	A4	bio1	BFO	apex1	apex1	tech1	endophytes	plate30	11.85241938	20.52954569	409.3316201	2.96525122
FP3A41BFOapex12endophytesbacteria	ITS_22	FP3	FP3_ITS_22	A4	bio1	BFO	apex1	apex1	tech2	endophytes	plate30	12.25473891	20.36798157	276.9041124	2.005929219
FP3A41BFOapex13endophytesbacteria	ITS_23	FP3	FP3_ITS_23	A4	bio1	BFO	apex1	apex1	tech3	endophytes	plate30	10.2142656	19.23847324	520.6635645	3.771754231
FP3A41BFOapex14endophytesbacteria	ITS_24	FP3	FP3_ITS_24	A4	bio1	BFO	apex1	apex1	tech4	endophytes	plate30	13.04535557	21.38752215	324.5206757	2.350869766
FP3A41BFOapex21endophytesbacteria	ITS_25	FP3	FP3_ITS_25	A4	bio1	BFO	apex2	apex2	tech1	endophytes	plate30	11.798567	19.6102058	224.6661254	1.627510483
FP3A41BFOapex22endophytesbacteria	ITS_26	FP3	FP3_ITS_26	A4	bio1	BFO	apex2	apex2	tech2	endophytes	plate30	10.08350502	19.78545907	832.8737673	6.033445337
FP3A41BFOapex23endophytesbacteria	ITS_27	FP3	FP3_ITS_27	A4	bio1	BFO	apex2	apex2	tech3	endophytes	plate30	11.84900154	19.33186762	178.8822067	1.295845851
FP3A41BFOapex24endophytesbacteria	ITS_28	FP3	FP3_ITS_28	A4	bio1	BFO	apex2	apex2	tech4	endophytes	plate30	12.96628534	19.15021096	72.70212444	0.526663597
FP3A41BFOapex31endophytesbacteria	ITS_29	FP3	FP3_ITS_29	A4	bio1	BFO	apex3	apex3	tech1	endophytes	plate30	13.57321636	19.30147647	53.01247944	0.38402926
FP3A41BFOapex32endophytesbacteria	ITS_30	FP3	FP3_ITS_30	A4	bio1	BFO	apex3	apex3	tech2	endophytes	plate30	12.92993655	19.30280183	82.87501255	0.600357314
FP3A41BFOapex33endophytesbacteria	ITS_31	FP3	FP3_ITS_31	A4	bio1	BFO	apex3	apex3	tech3	endophytes	plate30	12.13685353	19.59835821	176.2530826	1.276800136
FP3A41BFOapex34endophytesbacteria	ITS_32	FP3	FP3_ITS_32	A4	bio1	BFO	apex3	apex3	tech4	endophytes	plate31	12.44903592	20.16911171	210.8503771	1.527427414
FP3A41BFObak1bkk1cerk11endophytesbacteria	ITS_33	FP3	FP3_ITS_33	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech1	endophytes	plate31	10.48824757	20.07925592	771.2251802	5.586854996
FP3A41BFObak1bkk1cerk12endophytesbacteria	ITS_34	FP3	FP3_ITS_34	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech2	endophytes	plate31	12.06808311	19.25497051	145.7030625	0.82324073
FP3A41BFObak1bkk1cerk13endophytesbacteria	ITS_35	FP3	FP3_ITS_35	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech3	endophytes	plate31	11.95176925	19.29478586	162.3559683	0.917331754
FP3A41BFObak1bkk1cerk14endophytesbacteria	ITS_36	FP3	FP3_ITS_36	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech4	endophytes	plate31	10.08152256	19.86320291	880.1956037	4.973216477
FP3A41BFO35SBRI1endophytesbacteria	ITS_37	FP3	FP3_ITS_37	A4	bio1	BFO	35SBRI	35SBRI	tech1	endophytes	plate31	11.88611451	19.0356986	141.983954	0.802227296
FP3A41BFO35SBRI2endophytesbacteria	ITS_38	FP3	FP3_ITS_38	A4	bio1	BFO	35SBRI	35SBRI	tech2	endophytes	plate31	13.11370949	20.88424789	218.3560052	1.233739044
FP3A41BFO35SBRI3endophytesbacteria	ITS_39	FP3	FP3_ITS_39	A4	bio1	BFO	35SBRI	35SBRI	tech3	endophytes	plate31	12.3798489	19.65910074	155.3363694	0.877670132
