barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr2B1bio2tp1rar1endophytestech2	ITS1o_23	GR2	B1	bio2	tp1	rar1	endophytes	tech2	oomycetes	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech2
Gr2B1bio2tp1rar1endophytestech3	ITS1o_24	GR2	B1	bio2	tp1	rar1	endophytes	tech3	oomycetes	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech3
Gr2B1bio2tp1rar1endophytestech4	ITS1o_25	GR2	B1	bio2	tp1	rar1	endophytes	tech4	oomycetes	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech4
Gr2B1bio2tp2WTendophytestech1	ITS1o_30	GR2	B1	bio2	tp2	WT	endophytes	tech1	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech1
Gr2B1bio2tp2WTendophytestech2	ITS1o_31	GR2	B1	bio2	tp2	WT	endophytes	tech2	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech2
Gr2B1bio2tp2WTendophytestech3	ITS1o_32	GR2	B1	bio2	tp2	WT	endophytes	tech3	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech3
Gr2B1bio2tp2WTendophytestech4	ITS1o_33	GR2	B1	bio2	tp2	WT	endophytes	tech4	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech4
Gr2B1bio2tp2wrkyendophytestech1	ITS1o_38	GR2	B1	bio2	tp2	wrky3340	endophytes	tech1	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech1
Gr2B1bio2tp2wrkyendophytestech2	ITS1o_39	GR2	B1	bio2	tp2	wrky3340	endophytes	tech2	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech2
Gr2B1bio2tp2wrkyendophytestech3	ITS1o_40	GR2	B1	bio2	tp2	wrky3340	endophytes	tech3	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech3
