barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp2cyp79endophytestech3	ITS1_61	GR1	B1	bio1	tp2	cyp79	endophytes	tech3	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1tp2cyp79endophytestech3
Gr1B1bio1tp2cyp79endophytestech4	ITS1_62	GR1	B1	bio1	tp2	cyp79	endophytes	tech4	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1tp2cyp79endophytestech4
Gr1B1bio1tp2pad4endophytestech1	ITS1_67	GR1	B1	bio1	tp2	pad4	endophytes	tech1	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1tp2pad4endophytestech1
Gr1B1bio1tp2pad4endophytestech2	ITS1_68	GR1	B1	bio1	tp2	pad4	endophytes	tech2	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1tp2pad4endophytestech2
Gr1B1bio1tp2pad4endophytestech3	ITS1_69	GR1	B1	bio1	tp2	pad4	endophytes	tech3	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1tp2pad4endophytestech3
Gr1B1bio1tp2pad4endophytestech4	ITS1_70	GR1	B1	bio1	tp2	pad4	endophytes	tech4	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1tp2pad4endophytestech4
Gr1B1bio1tp2rar1endophytestech1	ITS1_71	GR1	B1	bio1	tp2	rar1	endophytes	tech1	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1tp2rar1endophytestech1
Gr1B1bio1tp2rar1endophytestech2	ITS1_72	GR1	B1	bio1	tp2	rar1	endophytes	tech2	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1tp2rar1endophytestech2
Gr1B1bio1tp2rar1endophytestech3	ITS1_77	GR1	B1	bio1	tp2	rar1	endophytes	tech3	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1tp2rar1endophytestech3
Gr1B1bio1tp2rar1endophytestech4	ITS1_78	GR1	B1	bio1	tp2	rar1	endophytes	tech4	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1tp2rar1endophytestech4
Gr1B1bio2tp1WTendophytestech1	ITS1_83	GR1	B1	bio2	tp1	WT	endophytes	tech1	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech1
Gr1B1bio2tp1WTendophytestech2	ITS1_84	GR1	B1	bio2	tp1	WT	endophytes	tech2	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech2
Gr1B1bio2tp1WTendophytestech3	ITS1_85	GR1	B1	bio2	tp1	WT	endophytes	tech3	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech3
Gr1B1bio2tp1WTendophytestech4	ITS1_86	GR1	B1	bio2	tp1	WT	endophytes	tech4	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech4
