barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp2cyp79endophytestech3	B5_61	greenhouse	Gr1	B1	bio1	tp2	cyp79	endophytes	tech3	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1t2cyp79endophytestech3
Gr1B1bio1tp2cyp79endophytestech4	B5_62	greenhouse	Gr1	B1	bio1	tp2	cyp79	endophytes	tech4	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1t2cyp79endophytestech4
Gr1B1bio1tp2pad4endophytestech1	B5_67	greenhouse	Gr1	B1	bio1	tp2	pad4	endophytes	tech1	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1t2pad4endophytestech1
Gr1B1bio1tp2pad4endophytestech2	B5_68	greenhouse	Gr1	B1	bio1	tp2	pad4	endophytes	tech2	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1t2pad4endophytestech2
Gr1B1bio1tp2pad4endophytestech3	B5_69	greenhouse	Gr1	B1	bio1	tp2	pad4	endophytes	tech3	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1t2pad4endophytestech3
Gr1B1bio1tp2pad4endophytestech4	B5_70	greenhouse	Gr1	B1	bio1	tp2	pad4	endophytes	tech4	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio1	Gr1B1bio1t2pad4endophytestech4
Gr1B1bio1tp2rar1endophytestech1	B5_71	greenhouse	Gr1	B1	bio1	tp2	rar1	endophytes	tech1	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1t2rar1endophytestech1
Gr1B1bio1tp2rar1endophytestech2	B5_72	greenhouse	Gr1	B1	bio1	tp2	rar1	endophytes	tech2	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1t2rar1endophytestech2
Gr1B1bio1tp2rar1endophytestech3	B5_77	greenhouse	Gr1	B1	bio1	tp2	rar1	endophytes	tech3	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1t2rar1endophytestech3
Gr1B1bio1tp2rar1endophytestech4	B5_78	greenhouse	Gr1	B1	bio1	tp2	rar1	endophytes	tech4	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio1	Gr1B1bio1t2rar1endophytestech4
